pi0_s1,pi0_s2,pi1_s1,D_ts,phi,ny,x1,sty_ts,D_os,x_os,sty_os,pi0_ratio,pi1_ratio,TS_adv,errors
0.02,2.0,0.10201149425287356,0.1,0.6299999999999999,0.7099999999999999,20.120483773498165,18.24579238839173,0.23,19.564557627649354,0.850327396891369,0.01,0.71,20.457373307145915,
0.02,2.0,0.008534136546184741,0.1,0.6299999999999999,0.7099999999999999,20.58217636759726,18.543257620907504,0.16,21.907821108616076,0.46807071605557243,0.01,0.17,38.616359205658846,
0.02,2.0,0.09722222222222227,0.1,0.6299999999999999,0.7099999999999999,20.14471115011285,18.261684275356043,0.23,19.585034232955394,0.8296438112571385,0.01,0.7000000000000001,21.01147531937178,
0.02,2.0,0.010416666666666668,0.1,0.6299999999999999,0.7099999999999999,20.573153527905255,18.53756856852857,0.17,21.790774287570407,0.47440331521898077,0.01,0.2,38.075546004504154,
0.02,2.0,0.015410958904109592,0.1,0.6299999999999999,0.7099999999999999,20.54915283215782,18.522408185512962,0.18,21.61103813280813,0.4921691903533359,0.01,0.27,36.63422934340006,
0.02,2.0,0.050925925925925944,0.1,0.6299999999999999,0.7099999999999999,20.37600301624207,18.411926125501463,0.21,20.647313429395897,0.6337578149856242,0.01,0.55,28.05199066605452,
0.02,2.0,0.026639344262295087,0.1,0.6299999999999999,0.7099999999999999,20.49486680809458,18.487974172196527,0.19,21.345115937077164,0.5349400981771593,0.01,0.39,33.56083070832681,
0.02,2.0,0.02146464646464647,0.1,0.6299999999999999,0.7099999999999999,20.51994015155613,18.50390266789335,0.19,21.378076427351825,0.5147473705424234,0.01,0.34,34.94754189495823,
0.02,2.0,0.7916666666666679,0.09,0.6499999999999999,0.7499999999999999,16.342373478183596,16.772382180328297,0.26,15.394710296108519,3.4766387418711786,0.01,0.9500000000000001,3.8243097501988803,
0.02,2.0,1.3472222222222212,0.11,0.7499999999999999,0.6699999999999999,13.907405556271936,15.61448164078116,0.27,13.204112156634418,5.067078040108456,0.01,0.97,2.081555388960804,
0.02,1.0,0.0,0.07,0.69,0.7699999999999999,20.91726493621883,11.20956227931967,0.13,22.080089334159055,0.4416017866831811,0.02,0.0,24.38386985141833,
0.02,2.0,0.4212962962962965,0.1,0.6699999999999999,0.7299999999999999,17.340249808953214,17.545330374517803,0.25,17.240226503419844,2.1606154233684047,0.01,0.91,7.120524450929166,
